Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Dec 1, 2025 12:00 AM;Dec 1, 2025 1:00 AM;3,927.39;1,229.83;5,866.08;17,525.95;0.00;94.24;-;7,983.98;2,594.80;7,514.90;7.21;1,873.19
Dec 1, 2025 1:00 AM;Dec 1, 2025 2:00 AM;3,888.75;1,218.36;5,782.57;17,342.98;0.00;94.24;-;6,267.53;2,488.93;7,027.87;4.22;1,890.13
Dec 1, 2025 2:00 AM;Dec 1, 2025 3:00 AM;3,876.31;1,205.34;6,228.29;16,393.08;0.00;94.24;-;5,788.83;2,492.64;7,004.21;3.47;1,950.75
Dec 1, 2025 3:00 AM;Dec 1, 2025 4:00 AM;3,866.13;1,173.55;6,404.75;16,027.18;0.00;94.24;-;5,924.01;2,523.40;7,364.78;3.38;1,991.24
Dec 1, 2025 4:00 AM;Dec 1, 2025 5:00 AM;3,885.15;1,240.65;6,469.84;16,064.09;0.00;94.24;-;6,506.49;2,946.28;7,536.60;17.14;1,900.53
Dec 1, 2025 5:00 AM;Dec 1, 2025 6:00 AM;3,926.96;1,248.85;6,424.61;15,861.49;0.00;94.24;-;7,101.58;2,982.87;8,828.84;31.97;1,919.66
Dec 1, 2025 6:00 AM;Dec 1, 2025 7:00 AM;4,054.45;1,343.42;6,720.91;15,824.19;0.00;93.72;-;7,548.66;3,803.46;9,975.61;1,481.57;1,894.42
Dec 1, 2025 7:00 AM;Dec 1, 2025 8:00 AM;4,199.02;1,338.34;6,525.99;16,844.48;5.35;94.24;-;8,568.23;4,453.32;10,712.27;4,346.79;1,940.16
Dec 1, 2025 8:00 AM;Dec 1, 2025 9:00 AM;4,299.58;1,355.93;6,291.63;17,520.07;1,713.91;94.24;-;8,636.83;4,561.73;10,871.74;4,457.03;2,029.51
Dec 1, 2025 9:00 AM;Dec 1, 2025 10:00 AM;4,303.14;1,317.19;6,135.39;16,099.27;7,898.96;94.24;-;8,671.71;4,439.98;10,487.37;2,219.08;1,918.00
Dec 1, 2025 10:00 AM;Dec 1, 2025 11:00 AM;4,235.66;1,283.46;5,973.25;15,048.52;14,183.02;94.24;-;8,319.95;3,710.49;10,359.78;1,091.57;1,932.46
Dec 1, 2025 11:00 AM;Dec 1, 2025 12:00 PM;4,177.59;1,292.95;5,934.54;14,786.72;17,801.43;94.24;-;8,054.74;3,760.71;9,755.54;175.71;1,928.46
Dec 1, 2025 12:00 PM;Dec 1, 2025 1:00 PM;4,115.24;1,270.49;5,748.16;15,650.26;17,283.37;94.24;-;7,264.40;3,451.23;9,451.97;93.76;1,910.63
Dec 1, 2025 1:00 PM;Dec 1, 2025 2:00 PM;4,087.81;1,279.00;4,418.31;16,326.61;14,123.18;94.24;-;7,624.45;3,899.96;9,604.98;288.87;1,949.16
Dec 1, 2025 2:00 PM;Dec 1, 2025 3:00 PM;4,108.54;1,378.21;4,368.40;17,206.97;8,579.23;94.24;-;8,478.74;4,220.72;10,562.06;978.19;1,958.44
Dec 1, 2025 3:00 PM;Dec 1, 2025 4:00 PM;4,194.37;1,410.64;4,525.51;19,452.19;2,527.64;94.24;-;8,478.69;4,564.32;11,230.33;2,738.62;1,920.31
Dec 1, 2025 4:00 PM;Dec 1, 2025 5:00 PM;4,322.72;1,424.49;4,925.65;23,779.40;77.85;94.24;-;8,393.27;4,755.94;11,159.22;2,130.41;1,935.24
Dec 1, 2025 5:00 PM;Dec 1, 2025 6:00 PM;4,407.11;1,480.13;4,735.77;27,386.93;0.00;94.24;-;8,101.01;4,708.05;11,043.97;2,259.90;1,960.62
Dec 1, 2025 6:00 PM;Dec 1, 2025 7:00 PM;4,413.82;1,445.99;4,622.24;30,171.63;0.00;94.24;-;8,447.99;4,488.67;10,458.54;1,244.83;1,954.25
Dec 1, 2025 7:00 PM;Dec 1, 2025 8:00 PM;4,369.27;1,430.43;4,770.06;31,656.63;0.00;94.24;-;8,216.46;4,212.63;9,534.42;375.80;1,930.79
Dec 1, 2025 8:00 PM;Dec 1, 2025 9:00 PM;4,236.03;1,392.24;4,605.00;32,061.24;0.00;94.24;-;7,823.34;3,946.91;8,378.65;96.11;1,943.80
Dec 1, 2025 9:00 PM;Dec 1, 2025 10:00 PM;4,153.38;1,389.31;5,183.03;31,955.70;0.00;94.24;-;6,969.93;3,059.87;7,821.76;74.88;1,915.04
Dec 1, 2025 10:00 PM;Dec 1, 2025 11:00 PM;4,076.78;1,423.75;5,512.96;30,342.16;0.00;94.24;-;7,053.79;2,689.53;7,353.50;48.37;1,912.62
Dec 1, 2025 11:00 PM;Dec 2, 2025 12:00 AM;4,006.04;1,417.92;5,258.02;29,497.22;0.00;94.24;-;7,096.38;2,597.50;6,320.34;16.55;1,882.45
Dec 2, 2025 12:00 AM;Dec 2, 2025 1:00 AM;3,955.60;1,424.44;5,606.68;28,458.43;0.00;95.24;-;6,901.51;2,557.00;6,099.13;5.20;1,889.49
Dec 2, 2025 1:00 AM;Dec 2, 2025 2:00 AM;3,918.99;1,418.19;5,796.56;27,732.76;0.00;95.24;-;6,469.77;2,495.95;6,042.88;28.22;1,924.22
Dec 2, 2025 2:00 AM;Dec 2, 2025 3:00 AM;3,909.74;1,420.64;6,020.73;27,385.91;0.00;95.24;-;6,047.87;2,489.65;6,022.96;19.28;1,906.91
Dec 2, 2025 3:00 AM;Dec 2, 2025 4:00 AM;3,899.83;1,417.91;6,033.88;27,620.47;0.00;95.24;-;6,040.19;2,520.26;5,981.11;2.96;1,878.95
Dec 2, 2025 4:00 AM;Dec 2, 2025 5:00 AM;3,919.88;1,422.27;6,121.25;27,716.08;0.00;95.24;-;5,896.46;2,614.31;6,293.11;44.01;1,930.94
Dec 2, 2025 5:00 AM;Dec 2, 2025 6:00 AM;3,954.67;1,417.04;6,218.12;28,062.59;0.00;95.24;-;6,270.40;2,511.78;6,804.44;47.47;1,931.77
Dec 2, 2025 6:00 AM;Dec 2, 2025 7:00 AM;4,055.93;1,442.14;6,281.14;28,662.97;0.00;95.24;-;7,114.19;3,252.28;8,386.22;228.23;1,945.79
Dec 2, 2025 7:00 AM;Dec 2, 2025 8:00 AM;4,284.55;1,429.44;5,799.98;27,125.69;10.03;95.24;-;8,772.14;4,128.90;9,528.81;652.01;1,990.49
Dec 2, 2025 8:00 AM;Dec 2, 2025 9:00 AM;4,410.10;1,437.78;5,572.35;25,579.27;1,469.60;95.24;-;9,116.61;4,725.98;9,446.49;2,262.63;2,082.73
